sku,name,unit,current_stock,reorder_threshold,supplier_name,lead_time_days,category,notes,unit_price
BB-10212,Non Greasy Moisturizer Cream,unit,4803.0,833.0,MedLife Wholesale,7,Beauty & Hygiene,"Nivea Men Creme cares for your skin and it is specially developed for men and suitable for face, body, and hands. The skin compatibility is dermatologically approved.

Especially developed for men, it is suitable for: 
Face 
Body 
Hands
Skin compatibility dermatologically tested.",0.0
BB-10223,Basic Cup Set,unit,5053.0,864.0,KitchenCraft Supplies,7,"Kitchen, Garden & Pets","These Pasabahce glass cups are made from high-quality glass raw material. The capacity of these cups is 238 ml each. These are featured with 100% clarity, extra strong, heavy bottom, freezer safe, no sharp edges, no wobbling, odorless & also dishwasher safe. These are ideal for serving tea, coffee & other beverages.",529.0
BB-1023,"Orbit Chewing Gum - Spearmint , Sugarfree",unit,434.0,129.0,Britannia Regional Hub,7,Snacks & Branded Foods,Orbit chewing gum is sugarfree and ideal to chew after meals for clean and healthy teeth. It is available in delicious fruit and mint flavours and it also helps eliminate bad breath.,160.0
BB-10248,Luminosity - Anti Pigmentation Cream,pack,245.0,43.0,Personal Care Plus,7,Beauty & Hygiene,"This Luminosity - Anti Pigmentation Cream has decreases melanin production, lightens pigmentation and gives skin a natural glow. It contains red guava extract, black currant seed oil and bearberry extract.",1060.2
BB-10257,Baby Cottontouch Newborn Lotion,unit,1123.0,245.0,LittleOnes Care,7,Baby Care,"Johnson's Baby CottonTouch Newborn Baby Lotion to nourish and moisturize your newborn baby's sensitive skin. The ultra-light formula is hypoallergenic, free from parabens, sulfates & dyes. Clinically proven to be gentle and mild on newborns. The ultra-light formula is hypoallergenic, free from parabens, sulfates & dyes. Clinically proven to be gentle and mild on newborns. Johnson's Baby Cotton Touch Baby lotion for summer and winter is suitable for dry skin. Fragrance, allergy-free.",141.0
BB-10263,Swiss Roll - Cream & Real Strawberry Jam,unit,458.0,683.0,BakeMaster Artisans,1,"Bakery, Cakes & Dairy","Wheat Flour, Sugar, Egg, Edible Hyd Vegetable Oils, Liquid Glucose, Water, Humectants (422, 420, 1520), SMP, Dextrose Emulsifiers (322,471,472b,477), Corn Flour Class II Preservative (202) Acidity Regulators [330, 450 (i)], Salt, Raising Agent [500 (ii)], Strawberry Puree and Anti-Oxidant (319).",80.0
BB-10280,Daily Fresh Dahi,unit,105.0,51.0,BakeMaster Artisans,7,"Bakery, Cakes & Dairy","Made with 100% cow's milk, Britannia Daily Fresh Dahi is a rich source of protein and calcium. Britannia Dahi has no added preservatives, colours or flavours. Believing in delivering fresh and healthy products, Britannia India manufactures some of India's favourite dairy products like cheese slices, cheese spread, milkshakes and much more.",10.0
BB-10282,Aloe Vera Juice,unit,368.0,110.0,Chef's Basket Supplies,7,Gourmet & World Food,"Made from organic Aloevera, regular use of aloevera Juice improves immunity. Aloe Vera juice is very nutritious and contains ionic minerals, vitamins and folic acid. It is essential to keep the body fit and healthy as it contains vitamin A, B1, B6, B12 and C. Aloe Vera juice and gel have natural ingredients to keep joints and muscles healthy. Aloe Vera also contains very effective antioxidants, antibiotics and anti-sugar properties. It also contains saponin that helps in killing the germs and cleansing of the system.",490.5
BB-103,Loofah/Sponge Scrubber/Body Bath,unit,2322.0,398.0,SoftTouch Hygiene,7,Beauty & Hygiene,"Now you don't have to worry about loofah slipping from your hands. This brown loofah scrubber by BB Home features an elasticated band at the back for support. It improves your skin's blood circulation and eliminates the dead skin cells. The loofah is composed of slightly rough fibres that exfoliate the skin, resulting in the smooth and glowing skin.",0.0
BB-10306,All Natural Probiotics Shampoo Bar,bar,152.0,278.0,DermaCare Solutions,1,Beauty & Hygiene,"The shampoo bar is best for maintaining the health of both scalp and hair. It is high in vitamins a, c, k and d, along with other antioxidants that are important for hair growth. For normal hair, castor oil works great because of its antibacterial and antifungal properties. It is high in vitamin e, minerals, proteins and omega 6. Almond oil is another kind of oil which provides silkiness and shine to your hair and nourishes the scalp. Then again jojoba oil is an excellent natural moisturizer that is easily absorbed by the scalp. Brahmi powder is a traditional remedy that is known to make hair thicker and nourished and also brings relief to itchy scalps, promotes overall health of the hair, preventing split ends, reducing of hair loss and dandruff. This shampoo bar will bring your hair beauty and make it soft, beautiful, radiant and thick.",0.0
BB-10318,Scissors - Classic Cut,unit,439.0,93.0,HygieneFirst Supplies,7,Cleaning & Household,"Cartini classic cut scissors surgical excellence scissors meet all your requirements. All-purpose scissors great is for general trout tying. Arrow point scissors perfect for larger flies and move in work. And it has micro serrations on every blade for definitive sharpness and accurate cutting. Razor scissors cut complicated materials, enormous to trim hair and synthetics.",309.0
BB-1032,Coccinia,unit,0.0,349.0,GreenHarvest Produce,7,Fruits & Vegetables,The flesh of Coccinia is crunchy with a mild bitter after taste but the matured ones taste even sweeter. The translucent white flesh with seeds embedded turns red on ripening. They are oval to elongated with thick and light green skin.,25.0
BB-10365,"508 Display File - F/S, 40 Leaves",unit,202.0,43.0,SparkleClean Distributors,7,Cleaning & Household,"Superior Quality Plastic Foolscape Pouches and Cover Panels. Pouches are smudge-free, long-lasting and can accommodate a total of 80 documents.",205.0
BB-10369,Active Baby Small (3-8 kg) - 46 Diapers,pack,900.0,204.0,LittleOnes Care,7,Baby Care,"5 Star Skin Protection- The Best tape style diapers from Pampers, with an outer layer of cotton-like softness, this baby diaper provides intense care to your baby's sensitive skin and protects it effectively from friction rash and redness. These soft and comfort fitting diapers with stretchable sides are best for your baby's rest and playtime. The diapers fastening tape sticks multiple times thus ensuring it stays in place even after you fasten it after checking your baby's diaper. Protection and nourishment of your baby's skin are taken care of with extracts of moisturising Aloe Vera lotion, characteristic of these best baby diapers. These diapers are ultra-thin, thanks to the absorbent gel material (AGM), commonly known as Magic Gel. This magic gel core of Pampers diapers is highly effective in absorbing frequent wetness. Naturally, your baby's skin remains dry for upto12 hours, now no more frequent diaper changing or blow leaks for your little angel.",759.5
BB-1037,Soy Milk Protein+ Original,unit,72.0,31.0,Cream Valley Foods,7,"Bakery, Cakes & Dairy","So Good Protein+ Soy Milk is a Unique and low sugar formulation which extracts milk from Soy. So Good Soy Milk is plant-based milk and has no gluten or lactose in it. Moreover, it is high in plant-based protein and essential amino acids which are required for a well-balanced diet. It is fortified with essential vitamins & minerals which helps build a natural immune system. It contains 10g of protein per 200ml. It has no trans fats and is a good source of calcium and natural omega 3. So Good Soya milk comes with no preservatives and has no added colours.",234.18
BB-10373,Lavender Body Mist,unit,2096.0,354.0,DermaCare Solutions,7,Beauty & Hygiene,"Inatur brings to you alcohol-free and 100% aqueous base body mist is a gentle, stimulating, purifying, compassionate and awakening fragrance inspired by Lavender essential oil. The character of lavender mist is harmonious, calming, healing, caring and comforting.",570.0
BB-10374,Chips - Keralas Nendran Banana,unit,362.0,109.0,FineFoods Distributors,7,Gourmet & World Food,Banana Chips straight from Calicut. Made from the Nendran variety of Bananas available only in Kerala. These chips are like thin gold coins sure to appeal anyone's taste buds. These banana chips are crisp and the coconut oil used to fry them gives it that characteristic taste. Banana Chips from Calicut are undoubtedly the most favourite and thinnest of chips all over India. Vegetarian Use Before 30 days Store in an airtight container,130.0
BB-10378,Chia Seeds,unit,1106.0,233.0,Masala King,7,"Foodgrains, Oil & Masala",Himalayan Natives 100% Natural Chia Seeds are farmed and harvested with the highest quality control standards to ensure purity and consistent quality. Chia Seeds are high in protein. They are also loaded with antioxidants and are very high in fibre. Chia seeds are incredibly easy to incorporate in your diet.,360.0
BB-10381,Hydrating Seaweed Pack,unit,962.0,168.0,PureSkin Essentials,7,Beauty & Hygiene,"100% free of parabens, harsh chemicals, alcohol, artificial fragrance and colour. The rich blend of vitamins and minerals found in seaweed and aloe vera extracts makes an ideal pack for detoxifying, oxygenating, hydrating, balancing and anti ageing. Instant skin hydrator and reviver. Lotus leaf extracts restore your skin's ideal moisture level and load it with antioxidants, vitamin C and vitamin E. All of them together retard the ageing process and cell damage. Essential oil blend of calendula and chamomile purify and soothe your skin leaving it radiant, fresh and dewy.Tip: Following a regular skin care regime can help you achieve flawless skin. For more tips on skin care, visit SIRA lifestyle blog, Click Here to visit SIRA’s lifestyle blog",296.25
BB-10392,Pain Relief Cream,unit,1206.0,204.0,CareWell Distributors,7,Beauty & Hygiene,"Moov presents their range of 100% ayurvedic pain relief creams which provide instant relief to the affected area when applied. Made with a soothing blend of Turpentine Oil, Nilgiri Oil, Wintergreen Oil and Mint Extract swiftly penetrate the targeted area of pain giving you a soothing effect and instant relief.Moov Pain Relief Cream is one of India's most popular ointments for fast pain relief amongst the homemakers. It is an analgesic (or pain relieving) ointment made using 100% ayurvedic ingredients. Also available in a Spray format that allows easy application. Moov pain relief cream is made using 100% Ayurvedic ingredients that contribute to the pain relieving process, helping you get rid of pain quickly. It contains 4 active herbal ingredients that work wonders to give your muscles relief from pain. Besides, MOOV is an excellent ointment to get rid of chronic neck aches and lower back pains.A 100% Ayurvedic preparation for quick pain relief.Fast and long-lasting relief from muscle pain, neck and backache, inflammation, sprain, myositis, fibrositis and sciatica.Fortified ""Four Active Ingredients"" formula helps in relaxing muscle stiffness and relieving pain effectively.The special ingredients like Turpentine oil, Nilgiri oil, wintergreen oil and mint extract swiftly penetrate the targeted area of pain.Also available in easy-to-carry MOOV spray for easy application.For Beauty tips, tricks & more visitÃ‚Â https://SIRA.blog/",12.0
BB-10419,Gentle Baby Wipes - (SSC) IND Offer,pack,1355.0,292.0,TinyTots Essentials,7,Baby Care,"Gentle baby wipes from Himalaya are simple and easy to use. Infused with the goodness of Aloe Vera and Indian Lotus extracts, Gentle Baby Wipes are mild enough to soothe baby's bottoms during a diaper change. The wipes can also be used to gently cleanse baby's skin. The natural ingredients ensure that the baby remains bacteria-free throughout the day. Ideal for use when travelling.",350.0
BB-10443,Breakfast Protein Bar - Apricot & Fig,bar,3227.0,947.0,Continental Flavors,7,Gourmet & World Food,"Yogabar Breakfast bars are crunchy, fruity and delicious that are perfect for your everyday breakfast. Stacked with protein, antioxidants, omega-3, and fibre, it's much more than just a bar - it's healthy, nutritious and all natural. No preservatives. No artificial ingredients.",290.0
BB-10445,Streak6 Cartridges,unit,1265.0,212.0,PureSkin Essentials,7,Beauty & Hygiene,"The Streak6 Pivot Shaving Razor is our most premium shaving razor designed to deliver the smoothest and most burn free shave. Our new Streak6 shaving blades have our patented ICE (Ionic Carbon Edge) Diamond Coating that helps increase blade life and smoothness of the shave and are carefully designed and crafted in Germany by experts with over 140 years of experience to ensure that they are sharp, safe & long lasting. The razor handle is a weighted metal handle with a rubberized grip to give you maximum control over your shave. Moreover, our Pivot handle is equipped with our new Multi-Axis Pivot Technology that helps the razor adjust to all the contours of your skin and get virtually every hair.",649.0
BB-10449,Aluminium Kadai - Induction Base,unit,3323.0,555.0,KitchenCraft Supplies,7,"Kitchen, Garden & Pets","This essential cookware item from Kaviraj is made of aluminium and offers good heat conductivity. This Kadhai is Induction or Gas Stove friendly and can be used on both high flame and low flame. The cookware pot product is washable and scratch-resistant. Make luscious Biryani with this Non-Stick Biryani Pot Premium with Lid. The nonstick coating makes cooking and cleaning a lot easier, and it is sturdy and comes with a user-friendly handle.Benefits: They are easier to clean, you can cook with less oil.Better food release as the non-stick coating prevents the food from sticking.To prolong the life of a non-stick pan keep seasoning it at regular intervals and replace it every three to four years.",499.0
BB-1045,Washing Machine Cleaner,unit,727.0,152.0,CleanHome Supplies,7,Cleaning & Household,"Atomic best washing machine cleaning powder for all leading brand of fully automatic front load and top-loading washing machine like LG, Samsung, IFB, Godrej, Bosch, Whirlpool, Haier, etc. Best product for fully automatic top load/front load washing machine tub & drum cleaner and increase optimum condition and prolong their life in appliances. Best washing machine cleaner powder helps to removes bad smell, odours inside machine also clean machine drum/ tub and scale. Washing machine cleaner powder used after every 2 months or after 45 washes for smooth and effective functioning.",179.1
BB-10453,Daily Use Hair Conditioner - For Men,unit,1219.0,217.0,CareWell Distributors,7,Beauty & Hygiene,"Using conditioner after shampoo keeps your hair soft and manageable. This daily use conditioner contains Vitamin E which helps to increase blood flow to the scalp and promote hair health and quality. It also has Water Hyssop (Brahmi) which is one of best-known Ayurvedic ingredients that strengthen hair follicles and checks split ends. Due to the presence of wheat gram, it is enriched with Vitamin B which is a great conditioner for hair. It has Evening Primrose which nourishes the scalp and promotes healthy hair growth.",153.23
BB-10455,Lakadong Turmeric,unit,183.0,226.0,Exotic Ingredients Co.,1,Gourmet & World Food,"Lakadong Turmeric is a special variety of turmeric grown in Jaintia Hills of Meghalaya. This authentic Lakadong Turmeric powder is made of turmeric rhizomes carefully handpicked, meticulously processed maintaining the quality. It is known for its natural higher curcumin content 5% and above, which is one of the highest, against 2 to 3% of curcumin content in most of the other varieties of turmeric",284.05
BB-10458,Green Chilli Sauce,unit,612.0,183.0,Britannia Regional Hub,7,Snacks & Branded Foods,"Weikfield Green chilli sauce, made from 100% fresh chillies, will add taste not only to your food but to your life as well. Enjoy with your evening snacks and can be used in your recipes too.",49.0
BB-10477,Masala Combo - Chicken 15 Gm + Meat 15 Gm + Punjabi Butter Chicken 15 Gm + Garam Masala 40 Gm,pack,328.0,72.0,Spices of India,7,"Foodgrains, Oil & Masala","Bringing flavours of India with a combo pack of Kohinoor Garam Masala - A unique blend of fresh aromatic spices. Enriched with green cardamom, often known as the queen of spices, and fennel, for aroma. This blend is filled with the intense flavours and rich aromas of Indian kitchen.  Amritsari Tandoori Chicken Masala - This mouthwatering appetizer has made its place in the menus of restaurants across the globe. The succulent bright orangish red chicken with its spicy flavour is a treat for the taste buds. The spice mix is a complete solution with red chilli and black pepper for a lip smacking taste.  Kashmiri Meat Masala - This flavorful delicacy is the pride of Kashmir and one of the main dishes of the famous Kashmiri Wazwan. It contains nutmeg in combination with cardamom and mace for the Authentic Kashmiri cuisine taste.  Punjabi Butter Chicken Masala - This classic dish needs no introduction. It has made the highways of Punjab world famous. With distinctive spicy level. It is a true culinary star with white pepper and clove for aroma. Just add a pinch of these secret ingredients to turn your everyday veggies into a true delicacies.",99.0
BB-10486,Instant Noodles Rasa Curry Flavor,unit,942.0,281.0,Chef's Basket Supplies,7,Gourmet & World Food,"Koka quality instant noodles offer you better choice and a complete new experience in textures, tastes and flavors. It is thinner and soft than the China or Korean varieties.",45.0
BB-10491,EDT Spray - Original For Men,unit,416.0,73.0,SoftTouch Hygiene,7,Beauty & Hygiene,"Brut was launched in 1986 as an elegant fragrance for men. A high musk fragrance for men stays with you whole day. Base notes are made with a blend of tonka & leather musk. Its an Actual Musk!  For Beauty tips, tricks & more visit https://SIRA.blog/",595.0
BB-10492,Summer Berries Syrup - 100% Natural,unit,155.0,48.0,Chef's Basket Supplies,7,Gourmet & World Food,"100% Natural Syrups. Make easy mocktails, cocktails, iced teas, craft coffees or drizzle over your pancakes or yoghurt. Made with Real Fruits, Herbs and Spices. No added preservatives, colours or artificial flavours. Swa Artisanal Syrups are hand-crafted by women. 250 ml syrups are shipped in sustainable Glass bottles. Each 250 ml syrup bottle makes 8-10 mocktails or 12-15 cocktails. Thus each glass of a complex restaurant-style cocktail will cost only Rs 30! Shelf life is 4 months unopened from Mfg date, refrigerate after opening and use within a month.
For recipe ideas please visit www.drinkswa.com/recipes 
Kids love this one. Mahabaleshwar Strawberries are pulped and frozen, to that we add Hibiscus flowers from Mysore, some lemon juice and sugar to create this magnificent syrup. All Natural, of course.",300.0
BB-10512,Chicken - Seek Kabab,unit,169.0,49.0,FarmEggs & Poultry,7,"Eggs, Meat & Fish",It's an Indian delicacy with the rich aroma with some uncommon spices and fresh poultry. The finished result is delicious and milder in flavor than the amount of spices would predict. Can be eaten as a snack. It's properly packed and frozen to ensure that it retains its taste and aroma. Should be Kept Frozen at or below -18ºC.,325.0
BB-10515,Premium Baby Medium - 40 Diaper Pants,pack,360.0,79.0,LittleOnes Care,7,Baby Care,"Teddyy Diaper Pants - Premium, offers a world-class Pants diaper for your baby's comfort and freedom. Customised for the Indian weather, designed for the Indian body-type and made in India, Teddyy Diaper Pants Premium are extremely soft and breathable. Using SAP (Super Absorbent Powder) which converts a liquid into gel, Teddyys offer a superior performance along with a unique embossed design which increases absorbency and a soft, cottony waistband for added comfort 100% freedom, for you and your baby.",499.0
BB-10522,"Turmeric - Organic, USDA Certified",unit,125.0,38.0,Exotic Ingredients Co.,7,Gourmet & World Food,"Geo Fresh presents their healthy and nutritious range of organic Ayurvedic ingredients which are packed with essential nutrients that are bound to boost your immunity, leave you energised and provide you with all the health benefits you need that require you to go on for a healthy living. The root of turmeric is also used widely to make medicine. It contains a yellow-coloured chemical called Curcumin, which is often used to colour foods and cosmetics.",290.0
