supplier_id,name,company_name,contact_person,phone,email,address,status,default_lead_time_days,delivery_schedule,notes
SUP049,Cream Valley Foods,Cream Valley Foods Ltd,Shobha Nair,+91-9876543258,sales@creamvalley.in,"Dairy Park, Anand, GJ 388001",Active,2,Daily,"Cheese, cream, and dairy specialties. Specialized in 'Bakery, Cakes & Dairy'."
SUP050,Golden Loaf Bakers,Golden Loaf Bakers Co.,Thomas George,+91-9876543259,orders@goldenloaf.in,"Bakery Park, Bangalore, KA 560001",Active,3,Daily,"Premium bakery products. Specialized in 'Bakery, Cakes & Dairy'."
SUP051,BabyBase Supplies,BabyBase Supplies India,Anjali Menon,+91-9876543260,contact@babybasesupplies.in,"Baby Products Hub, Secunderabad, TS 500003",Active,5,Daily,Baby care and infant products. Specialized in 'Baby Care'.
SUP052,LittleOnes Care,LittleOnes Care Pvt Ltd,Rahul Saxena,+91-9876543261,sales@littleonescare.in,"Baby Care Park, Noida, UP 201301",Active,4,Daily,Baby diapers and wipes. Specialized in 'Baby Care'.
SUP053,TinyTots Essentials,TinyTots Essentials LLP,Fatima Begum,+91-9876543262,orders@tinytots.in,"Infant Products Hub, Hyderabad, TS 500001",Active,5,Daily,Baby food and feeding essentials. Specialized in 'Baby Care'.
SUP054,FreshFarm Veg Market,FreshFarm Veg Market LLC,Govind Raju,+91-9876543263,contact@freshfarmvegmarket.in,"Farm Road, Agricultural Zone, Rajahmundry, AP 533001",Active,5,Daily,Fresh vegetables and greens. Specialized in 'Fruits & Vegetables'.
SUP055,FruitKing South,FruitKing South Distributors,Narasimha Reddy,+91-9876543264,contact@fruitkingsouth.in,"Fruit Market, Kurnool, AP 518001",Active,5,Daily,Fresh fruits and seasonal produce. Specialized in 'Fruits & Vegetables'.
SUP056,GreenHarvest Produce,GreenHarvest Produce LLP,Catherine D'Souza,+91-9876543265,sales@greenharvest.in,"Produce Park, Bangalore, KA 560001",Active,4,Daily,Organic fruits and vegetables. Specialized in 'Fruits & Vegetables'.
SUP057,FreshCatch Meats,FreshCatch Meats Pvt Ltd,Biju Kurian,+91-9876543266,orders@freshcatch.in,"Meat Processing Zone, Kochi, KL 682001",Active,3,Daily,"Fresh meat and poultry. Specialized in 'Eggs, Meat & Fish'."
SUP058,ProteinFresh Suppliers,ProteinFresh Suppliers India,Harpreet Singh,+91-9876543267,sales@proteinfresh.in,"Cold Chain Park, Delhi, DL 110001",Active,4,Daily,"Eggs, chicken, and protein products. Specialized in 'Eggs, Meat & Fish'."
SUP059,FarmEggs & Poultry,FarmEggs & Poultry Ltd,Jessica Munda,+91-9876543268,contact@farmeggs.in,"Poultry Farm Zone, Hyderabad, TS 500001",Active,3,Daily,"Farm-fresh eggs and poultry. Specialized in 'Eggs, Meat & Fish'."
